Unnamed: 0,Model,Price_w/o_shipping,Vendor,Date
3262,Exquisit GS18-H-170E,"€ 348,99",Servicehansa,2024-06-26
3263,Exquisit GS18-H-170E,"€ 348,99",neckermann.at,2024-06-26
3264,Exquisit GS18-H-170E,"€ 349,99",Universal Versand,2024-06-26
3265,Exquisit GS18-H-170E,"€ 349,99",OTTO Österreich,2024-06-26
3266,Exquisit GS18-H-170E,"€ 357,98",Elektroshop Wagner AT,2024-06-26
3267,Exquisit GS295-NF-H-040D weiß,"€ 739,99",Köck,2024-06-26
3268,Exquisit GS295-NF-H-040D weiß,"€ 739,99",Servicehansa,2024-06-26
3269,Exquisit GS295-NF-H-040D weiß,"€ 739,99",Universal Versand,2024-06-26
3270,Exquisit GS295-NF-H-040D weiß,"€ 739,99",OTTO Österreich,2024-06-26
3271,Beko RFNE290T45XPN,"€ 585,73",Elektroshop Wagner AT,2024-06-26
3272,Beko RFNE290T45XPN,"€ 599,00",techonly,2024-06-26
3273,Beko RFNE290T45XPN,"€ 599,00",Alternate.at,2024-06-26
3274,Beko RFNE290T45XPN,"€ 599,99",Universal Versand,2024-06-26
3275,Beko RFNE290T45XPN,"€ 599,99",OTTO Österreich,2024-06-26
3276,Beko RFNE290T45XPN,"€ 599,99",neckermann.at,2024-06-26
3277,Beko RFNE290T45XPN,"€ 604,38",Amazon.at,2024-06-26
3278,Beko RFNE290T45XPN,"€ 689,99",Radio Krejcik Wien,2024-06-26
3279,Liebherr Fv 913-41 Gewerbe-Gefrierschrank,"€ 1169,00",Köck,2024-06-26
3280,Liebherr Fv 913-41 Gewerbe-Gefrierschrank,"€ 1169,00",Küchen & Wohnstudio Kutzer,2024-06-26
3281,Silva Schneider H-GS 2538,"€ 389,00",Schreck,2024-06-26
3282,Liebherr FFTSvg 7531-40 Performance Gewerbe-Gefrierschrank,"€ 5990,00",Köck,2024-06-26
3283,Liebherr FFTSvg 7531-40 Performance Gewerbe-Gefrierschrank,"€ 5990,00",Küchen & Wohnstudio Kutzer,2024-06-26
3284,Siemens iQ500 GS58NEWCV,"€ 1429,00",Köck,2024-06-26
3285,Siemens iQ500 GS58NEWCV,"€ 1429,00",Radio Krejcik Wien,2024-06-26
3286,Siemens iQ500 GS58NEWCV,"€ 1429,00",Red Zac,2024-06-26
3287,Siemens iQ500 GS58NEWCV,"€ 1789,00",ek-online,2024-06-26
3288,Liebherr FFFsg 5501-40 Performance Gewerbe-Gefrierschrank,"€ 1939,00",Köck,2024-06-26
3289,Liebherr FFFsg 5501-40 Performance Gewerbe-Gefrierschrank,"€ 1939,00",Küchen & Wohnstudio Kutzer,2024-06-26
3290,Liebherr FFFsg 5501-40 Performance Gewerbe-Gefrierschrank,"€ 1949,00",Media Markt.at,2024-06-26
3291,Bosch Serie 4 GSN36VW3P,"€ 823,94",0815,2024-06-26
3292,Beko RFSA210K30WN,"€ 383,18",Amazon.at,2024-06-26
3293,Beko RFSA210K30WN,"€ 397,66",Elektroshop Wagner AT,2024-06-26
3294,Beko FSE1175N Tisch-Gefrierschrank,"€ 295,00",Alternate.at,2024-06-26
3295,Beko FSE1175N Tisch-Gefrierschrank,"€ 363,63",Elektroshop Wagner AT,2024-06-26
